pm10,so2,co,o3,no2,categori
63.0,12.0,24.0,60.0,14.0,SEDANG
67.0,14.0,23.0,61.0,14.0,SEDANG
74.0,14.0,25.0,73.0,16.0,SEDANG
68.0,11.0,19.0,62.0,13.0,SEDANG
70.0,12.0,20.0,73.0,15.0,SEDANG
64.0,16.0,33.0,68.0,19.0,SEDANG
79.0,16.0,37.0,80.0,22.0,SEDANG
62.0,15.0,20.0,52.0,17.0,SEDANG
66.0,15.0,15.0,57.0,13.0,SEDANG
70.0,17.0,28.0,103.0,22.0,TIDAK SEHAT
72.0,17.0,29.0,62.0,15.0,SEDANG
70.0,17.0,29.0,72.0,18.0,SEDANG
66.0,19.0,28.0,133.0,18.0,TIDAK SEHAT
67.0,17.0,27.0,113.0,18.0,TIDAK SEHAT
63.0,14.0,20.0,48.0,13.0,SEDANG
62.0,13.0,17.0,51.0,12.0,SEDANG
60.0,12.0,15.0,57.0,9.0,SEDANG
59.0,12.0,16.0,83.0,11.0,SEDANG
68.0,14.0,36.0,77.0,14.0,SEDANG
53.0,10.0,13.0,59.0,14.0,SEDANG
53.0,11.0,12.0,60.0,8.0,SEDANG
52.0,9.0,12.0,94.0,11.0,SEDANG
56.0,11.0,14.0,63.0,14.0,SEDANG
62.0,12.0,23.0,63.0,13.0,SEDANG
55.0,12.0,22.0,57.0,13.0,SEDANG
63.0,14.0,25.0,61.0,15.0,SEDANG
68.0,16.0,28.0,117.0,16.0,TIDAK SEHAT
63.0,14.0,25.0,99.0,18.0,SEDANG
59.0,13.0,22.0,91.0,16.0,SEDANG
59.0,11.0,17.0,66.0,16.0,SEDANG
65.0,14.0,27.0,68.0,16.0,SEDANG
69.0,15.0,28.0,84.0,22.0,SEDANG
59.0,14.0,25.0,51.0,12.0,SEDANG
63.0,19.0,26.0,55.0,15.0,SEDANG
62.0,13.0,34.0,79.0,20.0,SEDANG
57.0,11.0,30.0,89.0,19.0,SEDANG
66.0,12.0,26.0,87.0,14.0,SEDANG
59.0,15.0,31.0,74.0,22.0,SEDANG
64.0,16.0,31.0,100.0,23.0,SEDANG
75.0,19.0,30.0,81.0,19.0,SEDANG
61.0,19.0,29.0,129.0,30.0,TIDAK SEHAT
82.0,26.0,28.0,117.0,19.0,TIDAK SEHAT
71.0,19.0,25.0,91.0,22.0,SEDANG
65.0,16.0,20.0,92.0,16.0,SEDANG
64.0,25.0,24.0,87.0,18.0,SEDANG
65.0,26.0,27.0,73.0,15.0,SEDANG
69.0,24.0,27.0,69.0,19.0,SEDANG
63.0,17.0,29.0,72.0,20.0,SEDANG
75.0,23.0,27.0,64.0,23.0,SEDANG
68.0,17.0,24.0,92.0,17.0,SEDANG
63.0,18.0,18.0,88.0,15.0,SEDANG
64.0,15.0,27.0,95.0,26.0,SEDANG
56.0,18.0,25.0,87.0,18.0,SEDANG
66.0,19.0,30.0,81.0,20.0,SEDANG
59.0,21.0,28.0,70.0,26.0,SEDANG
70.0,21.0,29.0,68.0,17.0,SEDANG
57.0,19.0,26.0,50.0,14.0,SEDANG
81.0,23.0,31.0,91.0,19.0,SEDANG
71.0,16.0,34.0,107.0,19.0,TIDAK SEHAT
70.0,20.0,34.0,131.0,20.0,TIDAK SEHAT
73.0,23.0,33.0,138.0,29.0,TIDAK SEHAT
67.0,25.0,32.0,96.0,21.0,SEDANG
61.0,21.0,29.0,70.0,23.0,SEDANG
60.0,21.0,25.0,86.0,21.0,SEDANG
70.0,16.0,27.0,59.0,14.0,SEDANG
58.0,16.0,27.0,58.0,14.0,SEDANG
57.0,17.0,25.0,61.0,16.0,SEDANG
60.0,19.0,26.0,59.0,16.0,SEDANG
58.0,17.0,32.0,68.0,20.0,SEDANG
74.0,21.0,31.0,84.0,18.0,SEDANG
58.0,18.0,29.0,89.0,14.0,SEDANG
54.0,18.0,25.0,69.0,13.0,SEDANG
44.0,17.0,22.0,58.0,9.0,SEDANG
28.0,19.0,25.0,61.0,15.0,SEDANG
51.0,14.0,30.0,60.0,15.0,SEDANG
58.0,15.0,41.0,56.0,14.0,SEDANG
53.0,15.0,20.0,73.0,12.0,SEDANG
54.0,14.0,32.0,133.0,18.0,TIDAK SEHAT
62.0,15.0,34.0,85.0,18.0,SEDANG
64.0,19.0,30.0,76.0,16.0,SEDANG
64.0,14.0,32.0,71.0,18.0,SEDANG
50.0,14.0,30.0,59.0,13.0,SEDANG
53.0,19.0,21.0,67.0,14.0,SEDANG
43.0,14.0,21.0,46.0,8.0,BAIK
46.0,17.0,25.0,80.0,14.0,SEDANG
57.0,23.0,23.0,81.0,16.0,SEDANG
66.0,24.0,31.0,94.0,18.0,SEDANG
77.0,30.0,31.0,66.0,16.0,SEDANG
68.0,20.0,33.0,57.0,18.0,SEDANG
51.0,19.0,20.0,65.0,11.0,SEDANG
57.0,17.0,31.0,80.0,15.0,SEDANG
57.0,20.0,26.0,88.0,20.0,SEDANG
54.0,22.0,27.0,100.0,18.0,SEDANG
69.0,31.0,38.0,146.0,36.0,TIDAK SEHAT
73.0,33.0,33.0,91.0,28.0,SEDANG
60.0,19.0,31.0,70.0,17.0,SEDANG
57.0,18.0,28.0,117.0,18.0,TIDAK SEHAT
57.0,18.0,25.0,89.0,14.0,SEDANG
65.0,25.0,35.0,84.0,21.0,SEDANG
58.0,32.0,28.0,62.0,17.0,SEDANG
73.0,26.0,38.0,112.0,21.0,TIDAK SEHAT
67.0,33.0,34.0,108.0,19.0,TIDAK SEHAT
49.0,18.0,26.0,58.0,16.0,SEDANG
64.0,19.0,29.0,71.0,14.0,SEDANG
58.0,12.0,22.0,118.0,13.0,TIDAK SEHAT
66.0,27.0,35.0,94.0,15.0,SEDANG
71.0,23.0,32.0,69.0,19.0,SEDANG
63.0,20.0,28.0,115.0,19.0,TIDAK SEHAT
52.0,18.0,26.0,74.0,13.0,SEDANG
40.0,19.0,25.0,64.0,13.0,SEDANG
41.0,17.0,29.0,70.0,12.0,SEDANG
56.0,23.0,36.0,78.0,11.0,SEDANG
42.0,18.0,20.0,45.0,11.0,BAIK
58.0,24.0,37.0,47.0,18.0,SEDANG
89.0,34.0,36.0,82.0,23.0,SEDANG
67.0,25.0,37.0,98.0,22.0,SEDANG
58.0,22.0,32.0,116.0,21.0,TIDAK SEHAT
75.0,20.0,48.0,78.0,25.0,SEDANG
45.0,13.0,37.0,88.0,12.0,SEDANG
54.0,21.0,25.0,73.0,13.0,SEDANG
66.0,24.0,42.0,75.0,17.0,SEDANG
55.0,21.0,37.0,71.0,15.0,SEDANG
36.0,17.0,23.0,74.0,7.0,SEDANG
33.0,20.0,22.0,41.0,8.0,BAIK
29.0,15.0,19.0,35.0,5.0,BAIK
34.0,18.0,22.0,39.0,8.0,BAIK
51.0,17.0,23.0,87.0,9.0,SEDANG
50.0,19.0,25.0,82.0,9.0,SEDANG
63.0,21.0,39.0,65.0,8.0,SEDANG
37.0,19.0,22.0,70.0,9.0,SEDANG
52.0,18.0,39.0,56.0,7.0,SEDANG
35.0,22.0,28.0,54.0,11.0,SEDANG
50.0,15.0,42.0,86.0,22.0,SEDANG
54.0,20.0,36.0,97.0,14.0,SEDANG
55.0,14.0,39.0,93.0,25.0,SEDANG
52.0,28.0,47.0,66.0,11.0,SEDANG
56.0,20.0,44.0,63.0,11.0,SEDANG
36.0,15.0,28.0,71.0,13.0,SEDANG
54.0,16.0,32.0,72.0,16.0,SEDANG
37.0,16.0,29.0,55.0,11.0,SEDANG
36.0,16.0,31.0,58.0,12.0,SEDANG
42.0,20.0,37.0,48.0,9.0,BAIK
38.0,19.0,27.0,54.0,11.0,SEDANG
34.0,19.0,34.0,54.0,7.0,SEDANG
39.0,18.0,20.0,55.0,6.0,SEDANG
40.0,18.0,27.0,61.0,9.0,SEDANG
60.0,30.0,33.0,92.0,23.0,SEDANG
50.0,45.0,38.0,71.0,15.0,SEDANG
50.0,22.0,33.0,51.0,13.0,SEDANG
38.0,17.0,23.0,54.0,8.0,SEDANG
37.0,25.0,25.0,90.0,11.0,SEDANG
58.0,21.0,41.0,66.0,13.0,SEDANG
36.0,17.0,15.0,58.0,10.0,SEDANG
36.0,26.0,24.0,48.0,11.0,BAIK
46.0,22.0,24.0,62.0,13.0,SEDANG
53.0,23.0,30.0,67.0,11.0,SEDANG
43.0,20.0,26.0,77.0,10.0,SEDANG
39.0,24.0,26.0,85.0,14.0,SEDANG
26.0,15.0,15.0,66.0,9.0,SEDANG
40.0,21.0,29.0,85.0,10.0,SEDANG
29.0,18.0,29.0,55.0,9.0,SEDANG
66.0,44.0,60.0,73.0,21.0,SEDANG
51.0,52.0,34.0,74.0,15.0,SEDANG
55.0,31.0,44.0,59.0,14.0,SEDANG
59.0,29.0,37.0,54.0,12.0,SEDANG
56.0,23.0,44.0,85.0,22.0,SEDANG
52.0,26.0,34.0,55.0,13.0,SEDANG
53.0,22.0,34.0,72.0,14.0,SEDANG
53.0,13.0,29.0,72.0,12.0,SEDANG
42.0,12.0,37.0,78.0,13.0,SEDANG
42.0,11.0,25.0,87.0,9.0,SEDANG
54.0,13.0,46.0,78.0,13.0,SEDANG
37.0,11.0,20.0,69.0,8.0,SEDANG
40.0,11.0,37.0,110.0,24.0,TIDAK SEHAT
70.0,13.0,53.0,76.0,24.0,SEDANG
56.0,15.0,42.0,82.0,23.0,SEDANG
60.0,12.0,34.0,62.0,18.0,SEDANG
77.0,44.0,41.0,51.0,19.0,SEDANG
49.0,24.0,28.0,75.0,17.0,SEDANG
56.0,24.0,28.0,61.0,14.0,SEDANG
59.0,52.0,36.0,62.0,14.0,SEDANG
60.0,41.0,47.0,78.0,22.0,SEDANG
61.0,31.0,39.0,86.0,13.0,SEDANG
55.0,23.0,31.0,76.0,6.0,SEDANG
54.0,26.0,32.0,99.0,7.0,SEDANG
66.0,26.0,34.0,85.0,6.0,SEDANG
71.0,53.0,48.0,137.0,9.0,TIDAK SEHAT
67.0,51.0,38.0,82.0,4.0,SEDANG
53.0,36.0,30.0,93.0,12.0,SEDANG
29.0,14.0,29.0,77.0,13.0,SEDANG
33.0,13.0,27.0,77.0,10.0,SEDANG
50.0,14.0,41.0,80.0,17.0,SEDANG
35.0,12.0,23.0,84.0,11.0,SEDANG
45.0,13.0,23.0,86.0,11.0,SEDANG
55.0,12.0,27.0,80.0,14.0,SEDANG
53.0,12.0,30.0,79.0,13.0,SEDANG
50.0,23.0,30.0,48.0,15.0,BAIK
49.0,20.0,29.0,68.0,13.0,SEDANG
53.0,29.0,30.0,52.0,15.0,SEDANG
46.0,20.0,19.0,57.0,11.0,SEDANG
42.0,27.0,23.0,62.0,11.0,SEDANG
33.0,17.0,23.0,36.0,6.0,BAIK
29.0,17.0,17.0,42.0,3.0,BAIK
29.0,17.0,19.0,40.0,5.0,BAIK
34.0,17.0,19.0,35.0,4.0,BAIK
30.0,17.0,14.0,42.0,8.0,BAIK
42.0,18.0,18.0,83.0,8.0,SEDANG
61.0,34.0,32.0,89.0,17.0,SEDANG
67.0,38.0,45.0,81.0,18.0,SEDANG
69.0,25.0,54.0,72.0,14.0,SEDANG
45.0,28.0,32.0,77.0,14.0,SEDANG
41.0,31.0,35.0,75.0,22.0,SEDANG
51.0,28.0,29.0,100.0,31.0,SEDANG
64.0,31.0,34.0,139.0,18.0,TIDAK SEHAT
64.0,23.0,37.0,109.0,24.0,TIDAK SEHAT
51.0,21.0,36.0,89.0,19.0,SEDANG
42.0,25.0,38.0,110.0,23.0,TIDAK SEHAT
55.0,29.0,33.0,64.0,23.0,SEDANG
58.0,30.0,28.0,72.0,15.0,SEDANG
45.0,21.0,21.0,68.0,17.0,SEDANG
50.0,25.0,26.0,74.0,11.0,SEDANG
61.0,29.0,51.0,83.0,19.0,SEDANG
55.0,29.0,35.0,77.0,16.0,SEDANG
74.0,36.0,46.0,64.0,24.0,SEDANG
58.0,27.0,36.0,77.0,17.0,SEDANG
57.0,26.0,25.0,79.0,12.0,SEDANG
51.0,21.0,21.0,73.0,10.0,SEDANG
61.0,26.0,30.0,75.0,17.0,SEDANG
55.0,24.0,30.0,97.0,13.0,SEDANG
64.0,29.0,48.0,80.0,23.0,SEDANG
54.0,27.0,34.0,86.0,21.0,SEDANG
73.0,24.0,48.0,119.0,26.0,TIDAK SEHAT
70.0,14.0,47.0,93.0,20.0,SEDANG
67.0,16.0,48.0,88.0,19.0,SEDANG
72.0,27.0,33.0,92.0,19.0,SEDANG
70.0,24.0,31.0,92.0,17.0,SEDANG
63.0,20.0,36.0,93.0,20.0,SEDANG
55.0,31.0,33.0,95.0,20.0,SEDANG
53.0,34.0,32.0,69.0,18.0,SEDANG
65.0,30.0,31.0,128.0,23.0,TIDAK SEHAT
61.0,24.0,24.0,83.0,14.0,SEDANG
64.0,26.0,40.0,72.0,23.0,SEDANG
55.0,28.0,46.0,93.0,15.0,SEDANG
65.0,20.0,44.0,84.0,20.0,SEDANG
65.0,21.0,41.0,100.0,20.0,SEDANG
69.0,32.0,26.0,80.0,16.0,SEDANG
60.0,21.0,31.0,83.0,15.0,SEDANG
47.0,22.0,34.0,82.0,15.0,SEDANG
78.0,33.0,72.0,75.0,24.0,SEDANG
76.0,27.0,53.0,75.0,31.0,SEDANG
72.0,25.0,37.0,80.0,25.0,SEDANG
61.0,25.0,38.0,89.0,26.0,SEDANG
64.0,27.0,33.0,143.0,16.0,TIDAK SEHAT
75.0,40.0,27.0,153.0,15.0,TIDAK SEHAT
59.0,31.0,30.0,89.0,15.0,SEDANG
57.0,27.0,37.0,64.0,19.0,SEDANG
66.0,28.0,32.0,79.0,17.0,SEDANG
66.0,24.0,43.0,72.0,23.0,SEDANG
56.0,25.0,24.0,76.0,16.0,SEDANG
60.0,23.0,32.0,65.0,17.0,SEDANG
58.0,24.0,13.0,79.0,9.0,SEDANG
58.0,23.0,34.0,84.0,23.0,SEDANG
55.0,23.0,31.0,111.0,24.0,TIDAK SEHAT
70.0,28.0,33.0,99.0,24.0,SEDANG
62.0,27.0,33.0,68.0,19.0,SEDANG
59.0,26.0,34.0,51.0,23.0,SEDANG
66.0,25.0,28.0,57.0,11.0,SEDANG
60.0,25.0,14.0,55.0,15.0,SEDANG
63.0,26.0,30.0,61.0,16.0,SEDANG
69.0,22.0,35.0,70.0,17.0,SEDANG
59.0,27.0,32.0,68.0,17.0,SEDANG
72.0,32.0,35.0,70.0,19.0,SEDANG
73.0,32.0,70.0,76.0,28.0,SEDANG
71.0,31.0,44.0,72.0,22.0,SEDANG
62.0,31.0,30.0,77.0,23.0,SEDANG
60.0,31.0,30.0,55.0,18.0,SEDANG
64.0,24.0,38.0,80.0,18.0,SEDANG
70.0,31.0,35.0,67.0,18.0,SEDANG
51.0,26.0,36.0,75.0,19.0,SEDANG
63.0,36.0,37.0,84.0,16.0,SEDANG
55.0,22.0,38.0,94.0,24.0,SEDANG
70.0,26.0,36.0,95.0,20.0,SEDANG
89.0,21.0,53.0,84.0,34.0,SEDANG
67.0,30.0,46.0,64.0,22.0,SEDANG
77.0,34.0,34.0,61.0,19.0,SEDANG
69.0,28.0,35.0,80.0,20.0,SEDANG
65.0,28.0,37.0,91.0,23.0,SEDANG
75.0,34.0,37.0,81.0,19.0,SEDANG
61.0,25.0,22.0,56.0,15.0,SEDANG
55.0,25.0,20.0,57.0,10.0,SEDANG
63.0,32.0,19.0,42.0,12.0,SEDANG
61.0,35.0,25.0,46.0,17.0,SEDANG
71.0,30.0,34.0,72.0,19.0,SEDANG
67.0,24.0,31.0,90.0,14.0,SEDANG
64.0,31.0,28.0,68.0,10.0,SEDANG
63.0,24.0,27.0,83.0,16.0,SEDANG
63.0,27.0,28.0,68.0,13.0,SEDANG
63.0,27.0,23.0,60.0,13.0,SEDANG
69.0,30.0,30.0,74.0,29.0,SEDANG
71.0,31.0,35.0,76.0,28.0,SEDANG
71.0,34.0,32.0,64.0,26.0,SEDANG
61.0,29.0,29.0,54.0,16.0,SEDANG
60.0,25.0,19.0,53.0,17.0,SEDANG
65.0,28.0,30.0,45.0,19.0,SEDANG
67.0,31.0,33.0,61.0,15.0,SEDANG
71.0,26.0,40.0,69.0,21.0,SEDANG
69.0,29.0,36.0,58.0,22.0,SEDANG
74.0,30.0,35.0,60.0,17.0,SEDANG
79.0,12.0,43.0,120.0,33.0,TIDAK SEHAT
80.0,23.0,37.0,87.0,25.0,SEDANG
80.0,27.0,33.0,76.0,27.0,SEDANG
63.0,31.0,33.0,95.0,20.0,SEDANG
70.0,27.0,44.0,114.0,30.0,TIDAK SEHAT
77.0,25.0,41.0,147.0,29.0,TIDAK SEHAT
72.0,28.0,31.0,70.0,21.0,SEDANG
66.0,27.0,37.0,76.0,28.0,SEDANG
58.0,23.0,32.0,122.0,25.0,TIDAK SEHAT
65.0,21.0,32.0,98.0,20.0,SEDANG
89.0,33.0,53.0,94.0,28.0,SEDANG
64.0,28.0,35.0,77.0,18.0,SEDANG
58.0,17.0,19.0,87.0,16.0,SEDANG
65.0,26.0,38.0,111.0,28.0,TIDAK SEHAT
79.0,28.0,36.0,105.0,26.0,TIDAK SEHAT
71.0,29.0,34.0,132.0,25.0,TIDAK SEHAT
89.0,30.0,32.0,108.0,32.0,TIDAK SEHAT
83.0,40.0,37.0,101.0,29.0,TIDAK SEHAT
80.0,28.0,36.0,88.0,26.0,SEDANG
72.0,22.0,24.0,66.0,16.0,SEDANG
72.0,21.0,33.0,59.0,19.0,SEDANG
70.0,24.0,36.0,81.0,21.0,SEDANG
81.0,27.0,36.0,109.0,25.0,TIDAK SEHAT
71.0,33.0,40.0,91.0,35.0,SEDANG
41.0,25.0,37.0,60.0,19.0,SEDANG
11.0,26.0,27.0,55.0,14.0,SEDANG
8.0,25.0,16.0,63.0,11.0,SEDANG
9.0,25.0,38.0,106.0,19.0,TIDAK SEHAT
6.0,23.0,36.0,102.0,25.0,TIDAK SEHAT
12.0,25.0,34.0,87.0,24.0,SEDANG
32.0,31.0,32.0,52.0,26.0,SEDANG
33.0,33.0,31.0,54.0,16.0,SEDANG
74.0,32.0,22.0,74.0,17.0,SEDANG
73.0,27.0,22.0,86.0,26.0,SEDANG
81.0,25.0,37.0,87.0,20.0,SEDANG
64.0,22.0,33.0,82.0,24.0,SEDANG
66.0,23.0,29.0,61.0,22.0,SEDANG
66.0,27.0,24.0,57.0,15.0,SEDANG
67.0,23.0,20.0,67.0,13.0,SEDANG
73.0,22.0,25.0,80.0,15.0,SEDANG
69.0,21.0,27.0,64.0,11.0,SEDANG
53.0,19.0,10.0,73.0,14.0,SEDANG
41.0,23.0,14.0,70.0,10.0,SEDANG
8.0,21.0,13.0,88.0,16.0,SEDANG
6.0,22.0,18.0,88.0,13.0,SEDANG
7.0,29.0,16.0,90.0,15.0,SEDANG
8.0,23.0,14.0,95.0,16.0,SEDANG
15.0,24.0,14.0,63.0,11.0,SEDANG
41.0,23.0,30.0,93.0,21.0,SEDANG
36.0,45.0,33.0,115.0,20.0,TIDAK SEHAT
13.0,22.0,33.0,98.0,23.0,SEDANG
11.0,27.0,30.0,80.0,19.0,SEDANG
34.0,28.0,27.0,74.0,18.0,SEDANG
64.0,28.0,25.0,77.0,16.0,SEDANG
68.0,40.0,24.0,77.0,16.0,SEDANG
77.0,26.0,32.0,70.0,18.0,SEDANG
70.0,33.0,29.0,72.0,22.0,SEDANG
54.0,29.0,33.0,93.0,26.0,SEDANG
79.0,27.0,31.0,119.0,20.0,TIDAK SEHAT
78.0,26.0,31.0,79.0,21.0,SEDANG
74.0,25.0,27.0,58.0,19.0,SEDANG
69.0,24.0,18.0,96.0,21.0,SEDANG
71.0,23.0,35.0,81.0,20.0,SEDANG
70.0,27.0,34.0,137.0,26.0,TIDAK SEHAT
73.0,31.0,49.0,101.0,20.0,TIDAK SEHAT
70.0,30.0,29.0,67.0,22.0,SEDANG
66.0,37.0,28.0,139.0,20.0,TIDAK SEHAT
78.0,54.0,27.0,144.0,21.0,TIDAK SEHAT
11.0,22.0,36.0,88.0,20.0,SEDANG
6.0,33.0,34.0,69.0,18.0,SEDANG
6.0,24.0,31.0,76.0,15.0,SEDANG
6.0,27.0,34.0,89.0,27.0,SEDANG
75.0,31.0,42.0,70.0,20.0,SEDANG
73.0,22.0,21.0,88.0,17.0,SEDANG
63.0,26.0,34.0,76.0,20.0,SEDANG
69.0,26.0,37.0,74.0,20.0,SEDANG
75.0,31.0,35.0,86.0,22.0,SEDANG
63.0,26.0,32.0,97.0,22.0,SEDANG
71.0,33.0,31.0,90.0,22.0,SEDANG
75.0,38.0,31.0,66.0,21.0,SEDANG
77.0,32.0,30.0,78.0,17.0,SEDANG
68.0,27.0,27.0,67.0,14.0,SEDANG
36.0,31.0,34.0,62.0,17.0,SEDANG
8.0,30.0,40.0,97.0,21.0,SEDANG
6.0,27.0,40.0,76.0,27.0,SEDANG
73.0,34.0,33.0,73.0,19.0,SEDANG
69.0,30.0,31.0,116.0,22.0,TIDAK SEHAT
74.0,27.0,31.0,120.0,19.0,TIDAK SEHAT
69.0,31.0,29.0,93.0,20.0,SEDANG
79.0,35.0,32.0,52.0,18.0,SEDANG
61.0,27.0,15.0,67.0,10.0,SEDANG
71.0,32.0,38.0,64.0,21.0,SEDANG
64.0,29.0,32.0,78.0,17.0,SEDANG
71.0,35.0,34.0,63.0,17.0,SEDANG
61.0,29.0,28.0,61.0,15.0,SEDANG
55.0,29.0,32.0,130.0,21.0,TIDAK SEHAT
63.0,27.0,45.0,99.0,21.0,SEDANG
60.0,29.0,24.0,64.0,11.0,SEDANG
47.0,25.0,29.0,77.0,18.0,SEDANG
63.0,30.0,33.0,92.0,23.0,SEDANG
66.0,33.0,30.0,101.0,19.0,TIDAK SEHAT
65.0,28.0,30.0,88.0,21.0,SEDANG
57.0,24.0,32.0,69.0,17.0,SEDANG
55.0,24.0,21.0,84.0,13.0,SEDANG
53.0,22.0,42.0,69.0,14.0,SEDANG
56.0,28.0,36.0,58.0,16.0,SEDANG
46.0,29.0,29.0,65.0,14.0,SEDANG
50.0,31.0,35.0,88.0,21.0,SEDANG
42.0,31.0,34.0,85.0,18.0,SEDANG
59.0,35.0,35.0,79.0,20.0,SEDANG
72.0,28.0,36.0,94.0,21.0,SEDANG
57.0,29.0,33.0,87.0,18.0,SEDANG
56.0,29.0,53.0,58.0,20.0,SEDANG
45.0,30.0,40.0,104.0,22.0,TIDAK SEHAT
47.0,33.0,36.0,83.0,28.0,SEDANG
49.0,30.0,34.0,57.0,20.0,SEDANG
45.0,26.0,27.0,50.0,15.0,BAIK
39.0,30.0,50.0,98.0,25.0,SEDANG
24.0,25.0,23.0,71.0,22.0,SEDANG
18.0,27.0,35.0,114.0,21.0,TIDAK SEHAT
19.0,26.0,37.0,88.0,18.0,SEDANG
43.0,34.0,83.0,65.0,23.0,SEDANG
30.0,30.0,44.0,119.0,16.0,TIDAK SEHAT
51.0,29.0,38.0,73.0,18.0,SEDANG
32.0,30.0,29.0,70.0,15.0,SEDANG
25.0,23.0,17.0,57.0,11.0,SEDANG
26.0,30.0,35.0,60.0,16.0,SEDANG
24.0,30.0,43.0,93.0,19.0,SEDANG
28.0,32.0,42.0,96.0,27.0,SEDANG
19.0,30.0,34.0,91.0,18.0,SEDANG
24.0,33.0,35.0,72.0,22.0,SEDANG
11.0,30.0,31.0,84.0,18.0,SEDANG
27.0,36.0,38.0,55.0,18.0,SEDANG
21.0,34.0,40.0,36.0,18.0,BAIK
20.0,37.0,52.0,48.0,18.0,SEDANG
19.0,30.0,29.0,47.0,16.0,BAIK
65.0,32.0,39.0,97.0,21.0,SEDANG
76.0,30.0,56.0,94.0,19.0,SEDANG
59.0,30.0,45.0,62.0,17.0,SEDANG
66.0,26.0,38.0,83.0,12.0,SEDANG
44.0,27.0,28.0,41.0,14.0,BAIK
39.0,31.0,33.0,32.0,11.0,BAIK
49.0,39.0,33.0,29.0,10.0,BAIK
60.0,34.0,37.0,123.0,21.0,TIDAK SEHAT
71.0,5.0,42.0,86.0,19.0,SEDANG
68.0,5.0,30.0,77.0,19.0,SEDANG
59.0,5.0,28.0,71.0,20.0,SEDANG
68.0,3.0,42.0,92.0,30.0,SEDANG
63.0,2.0,54.0,64.0,14.0,SEDANG
59.0,5.0,18.0,68.0,10.0,SEDANG
53.0,5.0,30.0,68.0,20.0,SEDANG
49.0,6.0,39.0,62.0,19.0,SEDANG
65.0,6.0,49.0,62.0,18.0,SEDANG
60.0,6.0,33.0,76.0,20.0,SEDANG
55.0,4.0,29.0,70.0,14.0,SEDANG
51.0,2.0,38.0,68.0,12.0,SEDANG
43.0,4.0,33.0,57.0,11.0,SEDANG
53.0,7.0,21.0,47.0,13.0,SEDANG
45.0,4.0,20.0,41.0,10.0,BAIK
38.0,3.0,31.0,54.0,13.0,SEDANG
45.0,5.0,30.0,33.0,10.0,BAIK
47.0,4.0,23.0,39.0,11.0,BAIK
40.0,4.0,26.0,39.0,14.0,BAIK
38.0,3.0,20.0,37.0,10.0,BAIK
31.0,2.0,15.0,28.0,7.0,BAIK
75.0,4.0,23.0,51.0,9.0,SEDANG
35.0,4.0,21.0,34.0,8.0,BAIK
57.0,3.0,50.0,35.0,12.0,SEDANG
40.0,2.0,28.0,32.0,10.0,BAIK
51.0,3.0,34.0,34.0,15.0,SEDANG
62.0,3.0,45.0,44.0,15.0,SEDANG
52.0,1.0,25.0,48.0,11.0,SEDANG
41.0,2.0,29.0,33.0,14.0,BAIK
69.0,4.0,32.0,36.0,15.0,SEDANG
53.0,2.0,29.0,37.0,14.0,SEDANG
70.0,2.0,34.0,59.0,17.0,SEDANG
66.0,3.0,32.0,49.0,15.0,SEDANG
82.0,2.0,23.0,44.0,14.0,SEDANG
64.0,2.0,63.0,43.0,22.0,SEDANG
80.0,3.0,55.0,86.0,25.0,SEDANG
56.0,2.0,37.0,76.0,21.0,SEDANG
44.0,1.0,28.0,50.0,11.0,BAIK
59.0,2.0,57.0,99.0,21.0,SEDANG
64.0,3.0,33.0,75.0,22.0,SEDANG
70.0,2.0,31.0,85.0,16.0,SEDANG
65.0,2.0,34.0,140.0,19.0,TIDAK SEHAT
72.0,2.0,46.0,85.0,23.0,SEDANG
69.0,2.0,35.0,73.0,20.0,SEDANG
51.0,2.0,31.0,102.0,19.0,TIDAK SEHAT
64.0,2.0,38.0,73.0,21.0,SEDANG
59.0,3.0,34.0,80.0,14.0,SEDANG
49.0,2.0,21.0,61.0,11.0,SEDANG
33.0,1.0,20.0,54.0,10.0,SEDANG
45.0,2.0,33.0,45.0,15.0,BAIK
44.0,2.0,32.0,39.0,12.0,BAIK
58.0,3.0,29.0,51.0,13.0,SEDANG
54.0,2.0,42.0,53.0,16.0,SEDANG
50.0,2.0,25.0,43.0,11.0,BAIK
49.0,1.0,25.0,68.0,12.0,SEDANG
59.0,2.0,28.0,64.0,13.0,SEDANG
52.0,2.0,24.0,65.0,15.0,SEDANG
54.0,1.0,31.0,75.0,14.0,SEDANG
53.0,1.0,33.0,69.0,17.0,SEDANG
47.0,2.0,21.0,54.0,7.0,SEDANG
48.0,2.0,24.0,62.0,9.0,SEDANG
52.0,2.0,26.0,75.0,12.0,SEDANG
55.0,2.0,23.0,79.0,13.0,SEDANG
42.0,1.0,26.0,73.0,14.0,SEDANG
44.0,2.0,38.0,48.0,13.0,BAIK
103.0,5.0,80.0,57.0,31.0,TIDAK SEHAT
87.0,6.0,73.0,72.0,30.0,SEDANG
63.0,4.0,34.0,53.0,17.0,SEDANG
64.0,4.0,40.0,53.0,15.0,SEDANG
61.0,4.0,29.0,76.0,10.0,SEDANG
58.0,1.0,31.0,76.0,10.0,SEDANG
47.0,2.0,24.0,55.0,11.0,SEDANG
63.0,3.0,37.0,101.0,21.0,TIDAK SEHAT
65.0,4.0,36.0,70.0,20.0,SEDANG
60.0,2.0,35.0,65.0,19.0,SEDANG
76.0,2.0,42.0,73.0,21.0,SEDANG
